@relation Training1

@attribute snake_x numeric
@attribute snake_y numeric
@attribute food_x numeric
@attribute food_y numeric
@attribute length numeric
@attribute delta_x numeric
@attribute delta_y numeric
@attribute distance_to_fruit numeric
@attribute isSafeUp {True,False}
@attribute isSafeDown {True,False}
@attribute isSafeLeft {True,False}
@attribute isSafeRight {True,False}
@attribute direction {0,1,2,3}

@data
40,370,230,460,7,190,90,210.23796041628637,False,True,True,True,1
40,380,230,460,7,190,80,206.15528128088303,False,True,True,True,1
40,390,230,460,7,190,70,202.48456731316588,False,True,True,True,1
40,400,230,460,7,190,60,199.24858845171275,False,True,True,True,1
40,410,230,460,7,190,50,196.468827043885,False,True,True,True,1
40,420,230,460,7,190,40,194.164878389476,False,True,True,True,1
40,430,230,460,7,190,30,192.35384061671346,False,True,True,True,1
40,440,230,460,7,190,20,191.049731745428,False,True,True,True,1
40,450,230,460,7,190,10,190.26297590440447,False,True,True,True,1
40,460,230,460,7,190,0,190.0,False,True,True,True,1
50,460,230,460,7,180,0,180.0,True,True,False,True,3
60,460,230,460,7,170,0,170.0,True,True,False,True,3
70,460,230,460,7,160,0,160.0,True,True,False,True,3
80,460,230,460,7,150,0,150.0,True,True,False,True,3
90,460,230,460,7,140,0,140.0,True,True,False,True,3
100,460,230,460,7,130,0,130.0,True,True,False,True,3
110,460,230,460,7,120,0,120.0,True,True,False,True,3
120,460,230,460,7,110,0,110.0,True,True,False,True,3
130,460,230,460,7,100,0,100.0,True,True,False,True,3
140,460,230,460,7,90,0,90.0,True,True,False,True,3
150,460,230,460,7,80,0,80.0,True,True,False,True,3
160,460,230,460,7,70,0,70.0,True,True,False,True,3
170,460,230,460,7,60,0,60.0,True,True,False,True,3
180,460,230,460,7,50,0,50.0,True,True,False,True,3
190,460,230,460,7,40,0,40.0,True,True,False,True,3
200,460,230,460,7,30,0,30.0,True,True,False,True,3
210,460,230,460,7,20,0,20.0,True,True,False,True,3
220,460,230,460,7,10,0,10.0,True,True,False,True,3
230,460,300,390,8,70,-70,98.99494936611666,True,True,False,True,3
230,450,300,390,8,70,-60,92.19544457292888,True,False,True,True,0
230,440,300,390,8,70,-50,86.02325267042627,True,False,True,True,0
230,430,300,390,8,70,-40,80.62257748298549,True,False,True,True,0
230,420,300,390,8,70,-30,76.15773105863909,True,False,True,True,0
230,410,300,390,8,70,-20,72.80109889280519,True,False,True,True,0
230,400,300,390,8,70,-10,70.71067811865476,True,False,True,True,0
230,390,300,390,8,70,0,70.0,True,False,True,True,0
240,390,300,390,8,60,0,60.0,True,True,False,True,3
250,390,300,390,8,50,0,50.0,True,True,False,True,3
260,390,300,390,8,40,0,40.0,True,True,False,True,3
270,390,300,390,8,30,0,30.0,True,True,False,True,3
280,390,300,390,8,20,0,20.0,True,True,False,True,3
290,390,300,390,8,10,0,10.0,True,True,False,True,3
300,390,440,430,9,140,40,145.60219778561037,True,True,False,True,3
300,400,440,430,9,140,30,143.17821063276352,False,True,True,True,1
300,410,440,430,9,140,20,141.4213562373095,False,True,True,True,1
300,420,440,430,9,140,10,140.356688476182,False,True,True,True,1
300,430,440,430,9,140,0,140.0,False,True,True,True,1
310,430,440,430,9,130,0,130.0,True,True,False,True,3
320,430,440,430,9,120,0,120.0,True,True,False,True,3
330,430,440,430,9,110,0,110.0,True,True,False,True,3
340,430,440,430,9,100,0,100.0,True,True,False,True,3
350,430,440,430,9,90,0,90.0,True,True,False,True,3
360,430,440,430,9,80,0,80.0,True,True,False,True,3
370,430,440,430,9,70,0,70.0,True,True,False,True,3
380,430,440,430,9,60,0,60.0,True,True,False,True,3
390,430,440,430,9,50,0,50.0,True,True,False,True,3
400,430,440,430,9,40,0,40.0,True,True,False,True,3
410,430,440,430,9,30,0,30.0,True,True,False,True,3
420,430,440,430,9,20,0,20.0,True,True,False,True,3
430,430,440,430,9,10,0,10.0,True,True,False,True,3
440,430,270,410,10,-170,-20,171.1724276862369,True,True,False,True,3
440,420,270,410,10,-170,-10,170.29386365926402,True,False,True,True,0
440,410,270,410,10,-170,0,170.0,True,False,True,True,0
430,410,270,410,10,-160,0,160.0,True,True,True,False,2
420,410,270,410,10,-150,0,150.0,True,True,True,False,2
410,410,270,410,10,-140,0,140.0,True,True,True,False,2
400,410,270,410,10,-130,0,130.0,True,True,True,False,2
390,410,270,410,10,-120,0,120.0,True,True,True,False,2
380,410,270,410,10,-110,0,110.0,True,True,True,False,2
370,410,270,410,10,-100,0,100.0,True,True,True,False,2
360,410,270,410,10,-90,0,90.0,True,True,True,False,2
350,410,270,410,10,-80,0,80.0,True,True,True,False,2
340,410,270,410,10,-70,0,70.0,True,True,True,False,2
330,410,270,410,10,-60,0,60.0,True,True,True,False,2
320,410,270,410,10,-50,0,50.0,True,True,True,False,2
310,410,270,410,10,-40,0,40.0,True,True,True,False,2
300,410,270,410,10,-30,0,30.0,True,True,True,False,2
290,410,270,410,10,-20,0,20.0,True,True,True,False,2
280,410,270,410,10,-10,0,10.0,True,True,True,False,2
270,410,270,180,11,0,-230,230.0,True,True,True,False,2
270,400,270,180,11,0,-220,220.0,True,False,True,True,0
270,390,270,180,11,0,-210,210.0,True,False,True,True,0
270,380,270,180,11,0,-200,200.0,True,False,True,True,0
270,370,270,180,11,0,-190,190.0,True,False,True,True,0
270,360,270,180,11,0,-180,180.0,True,False,True,True,0
270,350,270,180,11,0,-170,170.0,True,False,True,True,0
270,340,270,180,11,0,-160,160.0,True,False,True,True,0
270,330,270,180,11,0,-150,150.0,True,False,True,True,0
270,320,270,180,11,0,-140,140.0,True,False,True,True,0
270,310,270,180,11,0,-130,130.0,True,False,True,True,0
270,300,270,180,11,0,-120,120.0,True,False,True,True,0
270,290,270,180,11,0,-110,110.0,True,False,True,True,0
270,280,270,180,11,0,-100,100.0,True,False,True,True,0
270,270,270,180,11,0,-90,90.0,True,False,True,True,0
270,260,270,180,11,0,-80,80.0,True,False,True,True,0
270,250,270,180,11,0,-70,70.0,True,False,True,True,0
270,240,270,180,11,0,-60,60.0,True,False,True,True,0
270,230,270,180,11,0,-50,50.0,True,False,True,True,0
270,220,270,180,11,0,-40,40.0,True,False,True,True,0
270,210,270,180,11,0,-30,30.0,True,False,True,True,0
270,200,270,180,11,0,-20,20.0,True,False,True,True,0
270,190,270,180,11,0,-10,10.0,True,False,True,True,0
270,180,260,460,12,-10,280,280.178514522438,True,False,True,True,0
260,180,260,460,12,0,280,280.0,True,True,True,False,2
260,190,260,460,12,0,270,270.0,False,True,True,False,1
260,200,260,460,12,0,260,260.0,False,True,True,False,1
260,210,260,460,12,0,250,250.0,False,True,True,False,1
260,220,260,460,12,0,240,240.0,False,True,True,False,1
260,230,260,460,12,0,230,230.0,False,True,True,True,1
260,240,260,460,12,0,220,220.0,False,True,True,True,1
260,250,260,460,12,0,210,210.0,False,True,True,True,1
260,260,260,460,12,0,200,200.0,False,True,True,True,1
260,270,260,460,12,0,190,190.0,False,True,True,True,1
260,280,260,460,12,0,180,180.0,False,True,True,True,1
260,290,260,460,12,0,170,170.0,False,True,True,True,1
260,300,260,460,12,0,160,160.0,False,True,True,True,1
260,310,260,460,12,0,150,150.0,False,True,True,True,1
260,320,260,460,12,0,140,140.0,False,True,True,True,1
260,330,260,460,12,0,130,130.0,False,True,True,True,1
260,340,260,460,12,0,120,120.0,False,True,True,True,1
260,350,260,460,12,0,110,110.0,False,True,True,True,1
260,360,260,460,12,0,100,100.0,False,True,True,True,1
260,370,260,460,12,0,90,90.0,False,True,True,True,1
260,380,260,460,12,0,80,80.0,False,True,True,True,1
260,390,260,460,12,0,70,70.0,False,True,True,True,1
260,400,260,460,12,0,60,60.0,False,True,True,True,1
260,410,260,460,12,0,50,50.0,False,True,True,True,1
260,420,260,460,12,0,40,40.0,False,True,True,True,1
260,430,260,460,12,0,30,30.0,False,True,True,True,1
260,440,260,460,12,0,20,20.0,False,True,True,True,1
260,450,260,460,12,0,10,10.0,False,True,True,True,1
260,460,360,200,13,100,-260,278.5677655436824,False,True,True,True,1
270,460,360,200,13,90,-260,275.13632984395207,True,True,False,True,3
270,450,360,200,13,90,-250,265.70660511172844,True,False,False,True,0
270,440,360,200,13,90,-240,256.3201123595259,True,False,False,True,0
270,430,360,200,13,90,-230,246.9817807045694,True,False,False,True,0
