@relation TrainingPhase4-weka.filters.unsupervised.attribute.Remove-R3

@attribute distance_to_fruit numeric
@attribute snake_length numeric
@attribute ticks_since_last_score numeric
@attribute next_score numeric

@data
90,21,26,993
80,21,27,992
70,21,28,991
60,21,29,990
50,21,30,989
40,21,31,988
30,21,32,987
20,21,33,986
10,21,34,1086
302.324329,22,0,1085
310.644491,22,1,1084
319.061123,22,2,1083
327.566787,22,3,1082
336.154726,22,4,1081
331.209903,22,5,1080
326.496554,22,6,1079
322.024844,22,7,1078
317.804972,22,8,1077
308.706981,22,9,1076
299.666481,22,10,1075
290.688837,22,11,1074
281.780056,22,12,1073
272.946881,22,13,1072
264.196896,22,14,1071
255.538647,22,15,1070
246.981781,22,16,1069
238.537209,22,17,1068
230.217289,22,18,1067
222.036033,22,19,1066
214.009346,22,20,1065
206.155281,22,21,1064
198.494332,22,22,1063
191.049732,22,23,1062
183.847763,22,24,1061
176.91806,22,25,1060
170.293864,22,26,1059
164.012195,22,27,1058
158.113883,22,28,1057
152.643375,22,29,1056
147.648231,22,30,1055
143.178211,22,31,1054
139.283883,22,32,1053
136.014705,22,33,1052
133.416641,22,34,1051
131.529464,22,35,1050
130.384048,22,36,1049
130,22,37,1048
130.384048,22,38,1047
120.415946,22,39,1046
110.45361,22,40,1045
100.498756,22,41,1044
90.553851,22,42,1043
80.622577,22,43,1042
70.710678,22,44,1041
60.827625,22,45,1040
50.990195,22,46,1039
41.231056,22,47,1038
31.622777,22,48,1037
22.36068,22,49,1036
14.142136,22,50,1035
10,22,51,1135
202.484567,23,0,1134
197.230829,23,1,1133
192.353841,23,2,1132
187.882942,23,3,1131
183.847763,23,4,1130
180.277564,23,5,1129
177.200451,23,6,1128
174.642492,23,7,1127
172.626765,23,8,1126
171.172428,23,9,1125
161.245155,23,10,1124
151.32746,23,11,1123
141.421356,23,12,1122
131.529464,23,13,1121
121.655251,23,14,1120
111.803399,23,15,1119
101.98039,23,16,1118
92.195445,23,17,1117
82.462113,23,18,1116
72.801099,23,19,1115
63.245553,23,20,1114
53.851648,23,21,1113
44.72136,23,22,1112
36.055513,23,23,1111
28.284271,23,24,1110
22.36068,23,25,1109
20,23,26,1108
10,23,27,1208
411.096096,24,0,1207
404.598566,24,1,1206
398.246155,24,2,1205
392.045916,24,3,1204
386.005181,24,4,1203
380.131556,24,5,1202
374.432905,24,6,1201
368.917335,24,7,1200
363.593179,24,8,1199
358.468967,24,9,1198
353.553391,24,10,1197
348.855271,24,11,1196
344.383507,24,12,1195
340.147027,24,13,1194
336.154726,24,14,1193
332.415403,24,15,1192
328.937684,24,16,1191
325.729949,24,17,1190
322.800248,24,18,1189
320.156212,24,19,1188
317.804972,24,20,1187
315.753068,24,21,1186
314.006369,24,22,1185
312.569992,24,23,1184
311.44823,24,24,1183
310.644491,24,25,1182
310.161248,24,26,1181
310,24,27,1180
300,24,28,1179
290,24,29,1178
280,24,30,1177
270,24,31,1176
260,24,32,1175
250,24,33,1174
240,24,34,1173
230,24,35,1172
220,24,36,1171
210,24,37,1170
200,24,38,1169
190,24,39,1168
180,24,40,1167
170,24,41,1166
160,24,42,1165
150,24,43,1164
140,24,44,1163
130,24,45,1162
120,24,46,1161
110,24,47,1160
100,24,48,1159
90,24,49,1158
80,24,50,1157
70,24,51,1156
60,24,52,1155
50,24,53,1154
40,24,54,1153
30,24,55,1152
20,24,56,1151
10,24,57,1251
36.055513,25,0,1250
28.284271,25,1,1249
22.36068,25,2,1248
20,25,3,1247
22.36068,25,4,1246
28.284271,25,5,1245
36.055513,25,6,1244
44.72136,25,7,1243
53.851648,25,8,1242
50.990195,25,9,1241
50,25,10,1240
50.990195,25,11,1239
41.231056,25,12,1238
31.622777,25,13,1237
22.36068,25,14,1236
14.142136,25,15,1235
10,25,16,1234
14.142136,25,17,1233
22.36068,25,18,1232
31.622777,25,19,1231
41.231056,25,20,1230
50.990195,25,21,1229
60.827625,25,22,1228
70.710678,25,23,1227
80.622577,25,24,1226
90.553851,25,25,1225
100.498756,25,26,1224
110.45361,25,27,1223
120.415946,25,28,1222
130.384048,25,29,1221
140.356688,25,30,1220
150.332964,25,31,1219
160.312195,25,32,1218
170.293864,25,33,1217
180.277564,25,34,1216
190.262976,25,35,1215
190,25,36,1214
180,25,37,1213
170,25,38,1212
160,25,39,1211
150,25,40,1210
140,25,41,1209
130,25,42,1208
120,25,43,1207
110,25,44,1206
100,25,45,1205
90,25,46,1204
80,25,47,1203
70,25,48,1202
60,25,49,1201
50,25,50,1200
40,25,51,1199
30,25,52,1198
20,25,53,1197
10,25,54,1297
291.547595,26,0,1296
301.496269,26,1,1295
302.654919,26,2,1294
304.138127,26,3,1293
305.941171,26,4,1292
308.058436,26,5,1291
310.483494,26,6,1290
313.209195,26,7,1289
316.227766,26,8,1288
306.757233,26,9,1287
297.321375,26,10,1286
287.923601,26,11,1285
278.567766,26,12,1284
269.25824,26,13,1283
260,26,14,1282
250.798724,26,15,1281
241.660919,26,16,1280
232.594067,26,17,1279
223.606798,26,18,1278
214.709106,26,19,1277
205.912603,26,20,1276
197.230829,26,21,1275
188.679623,26,22,1274
183.575598,26,23,1273
178.885438,26,24,1272
174.642492,26,25,1271
170.880075,26,26,1270
167.630546,26,27,1269
164.924225,26,28,1268
162.788206,26,29,1267
161.245155,26,30,1266
160.312195,26,31,1265
150.332964,26,32,1264
140.356688,26,33,1263
130.384048,26,34,1262
120.415946,26,35,1261
110.45361,26,36,1260
100.498756,26,37,1259
90.553851,26,38,1258
80.622577,26,39,1257
70.710678,26,40,1256
60.827625,26,41,1255
50.990195,26,42,1254
41.231056,26,43,1253
31.622777,26,44,1252
22.36068,26,45,1251
14.142136,26,46,1250
10,26,47,1350
402.243707,27,0,1349
408.044115,27,1,1348
414.004831,27,2,1347
420.119031,27,3,1346
426.380112,27,4,1345
418.688428,27,5,1344
411.096096,27,6,1343
403.608721,27,7,1342
396.232255,27,8,1341
388.973007,27,9,1340
381.837662,27,10,1339
374.833296,27,11,1338
367.96739,27,12,1337
361.247837,27,13,1336
354.682957,27,14,1335
348.281495,27,15,1334
342.052628,27,16,1333
336.005952,27,17,1332
330.15148,27,18,1331
324.499615,27,19,1330
319.061123,27,20,1329
313.847097,27,21,1328
308.868904,27,22,1327
304.138127,27,23,1326
299.666481,27,24,1325
295.465734,27,25,1324
291.547595,27,26,1323
287.923601,27,27,1322
284.604989,27,28,1321
281.602557,27,29,1320
278.926514,27,30,1319
276.586334,27,31,1318
274.590604,27,32,1317
272.946881,27,33,1316
271.661554,27,34,1315
270.739727,27,35,1314
270.185122,27,36,1313
270,27,37,1312
270.185122,27,38,1311
260.192237,27,39,1310
250.19992,27,40,1309
240.208243,27,41,1308
230.217289,27,42,1307
220.227155,27,43,1306
210.23796,27,44,1305
200.249844,27,45,1304
190.262976,27,46,1303
180.277564,27,47,1302
170.293864,27,48,1301
160.312195,27,49,1300
150.332964,27,50,1299
140.356688,27,51,1298
130.384048,27,52,1297
120.415946,27,53,1296
110.45361,27,54,1295
100.498756,27,55,1294
90.553851,27,56,1293
80.622577,27,57,1292
70.710678,27,58,1291
60.827625,27,59,1290
50.990195,27,60,1289
41.231056,27,61,1288
40,27,62,1287
30,27,63,1286
20,27,64,1285
10,27,65,1385
254.950976,28,0,1384
264.764046,28,1,1383
274.590604,28,2,1382
284.429253,28,3,1381
282.842712,28,4,1380
281.602557,28,5,1379
280.713377,28,6,1378
280.178515,28,7,1377
280,28,8,1376
270,28,9,1375
260,28,10,1374
250,28,11,1373
240,28,12,1372
230,28,13,1371
220,28,14,1370
210,28,15,1369
200,28,16,1368
190,28,17,1367
180,28,18,1366
170,28,19,1365
160,28,20,1364
150,28,21,1363
140,28,22,1362
130,28,23,1361
120,28,24,1360
110,28,25,1359
100,28,26,1358
90,28,27,1357
80,28,28,1356
70,28,29,1355
60,28,30,1354
50,28,31,1353
40,28,32,1352
30,28,33,1351
20,28,34,1350
10,28,35,1450
263.058929,29,0,1449
272.946881,29,1,1448
282.842712,29,2,1447
281.602557,29,3,1446
280.713377,29,4,1445
280.178515,29,5,1444
280,29,6,1443
270,29,7,1442
260,29,8,1441
250,29,9,1440
240,29,10,1439
230,29,11,1438
220,29,12,1437
210,29,13,1436
200,29,14,1435
190,29,15,1434
180,29,16,1433
170,29,17,1432
160,29,18,1431
150,29,19,1430
140,29,20,1429
130,29,21,1428
120,29,22,1427
110,29,23,1426
100,29,24,1425
90,29,25,1424
80,29,26,1423
70,29,27,1422
60,29,28,1421
50,29,29,1420
40,29,30,1419
30,29,31,1418
20,29,32,1417
10,29,33,1517
152.970585,30,0,1516
151.32746,30,1,1515
150.332964,30,2,1514
150,30,3,1513
150.332964,30,4,1512
151.32746,30,5,1511
152.970585,30,6,1510
143.178211,30,7,1509
133.416641,30,8,1508
123.693169,30,9,1507
114.017543,30,10,1506
104.403065,30,11,1505
94.86833,30,12,1504
85.440037,30,13,1503
76.157731,30,14,1502
67.082039,30,15,1501
58.309519,30,16,1500
50,30,17,1499
42.426407,30,18,1498
36.055513,30,19,1497
31.622777,30,20,1496
30,30,21,1495
31.622777,30,22,1494
22.36068,30,23,1493
14.142136,30,24,1492
10,30,25,1491
14.142136,30,26,1490
22.36068,30,27,1489
31.622777,30,28,1488
41.231056,30,29,1487
50.990195,30,30,1486
60.827625,30,31,1485
70.710678,30,32,1484
80.622577,30,33,1483
90.553851,30,34,1482
100.498756,30,35,1481
110.45361,30,36,1480
120.415946,30,37,1479
130.384048,30,38,1478
140.356688,30,39,1477
150.332964,30,40,1476
160.312195,30,41,1475
170.293864,30,42,1474
180.277564,30,43,1473
190.262976,30,44,1472
200.249844,30,45,1471
200,30,46,1470
190,30,47,1469
180,30,48,1468
170,30,49,1467
160,30,50,1466
150,30,51,1465
140,30,52,1464
130,30,53,1463
120,30,54,1462
110,30,55,1461
100,30,56,1460
90,30,57,1459
80,30,58,1458
70,30,59,1457
60,30,60,1456
50,30,61,1455
40,30,62,1454
30,30,63,1453
20,30,64,1452
10,30,65,1552
330.15148,31,0,1551
330,31,1,1550
330.15148,31,2,1549
330.605505,31,3,1548
331.360831,31,4,1547
321.403174,31,5,1546
311.44823,31,6,1545
301.496269,31,7,1544
291.547595,31,8,1543
281.602557,31,9,1542
271.661554,31,10,1541
261.725047,31,11,1540
251.793566,31,12,1539
241.867732,31,13,1538
231.94827,31,14,1537
222.036033,31,15,1536
212.132034,31,16,1535
202.237484,31,17,1534
192.353841,31,18,1533
182.482876,31,19,1532
172.626765,31,20,1531
162.788206,31,21,1530
152.970585,31,22,1529
143.178211,31,23,1528
133.416641,31,24,1527
123.693169,31,25,1526
114.017543,31,26,1525
104.403065,31,27,1524
94.86833,31,28,1523
85.440037,31,29,1522
